src_type,src_id,dst_type,dst_id,edge_type
class_node,0,class_node,1,hasSubClass
class_node,2,class_node,3,hasSubClass
class_node,4,class_node,5,hasSubClass
class_node,6,attribute_node,0,hasAttribute
class_node,3,attribute_node,1,hasAttribute
class_node,7,class_node,8,hasSubClass
class_node,9,class_node,10,hasSubClass
class_node,11,class_node,12,hasSubClass
class_node,4,class_node,13,hasSubClass
class_node,14,class_node,15,hasSubClass
class_node,16,class_node,17,hasSubClass
class_node,18,class_node,19,hasSubClass
class_node,4,class_node,20,hasSubClass
class_node,21,attribute_node,2,hasAttribute
class_node,22,attribute_node,3,hasAttribute
class_node,23,attribute_node,4,hasAttribute
class_node,24,attribute_node,5,hasAttribute
class_node,25,attribute_node,6,hasAttribute
class_node,26,attribute_node,7,hasAttribute
class_node,27,attribute_node,8,hasAttribute
class_node,28,attribute_node,9,hasAttribute
class_node,29,class_node,30,hasSubClass
class_node,31,class_node,32,hasSubClass
class_node,33,class_node,34,hasSubClass
class_node,35,attribute_node,10,hasAttribute
class_node,36,class_node,37,hasSubClass
class_node,38,attribute_node,11,hasAttribute
class_node,19,class_node,39,hasSubClass
class_node,0,class_node,40,hasSubClass
class_node,41,class_node,42,hasSubClass
class_node,43,class_node,44,hasSubClass
class_node,45,attribute_node,12,hasAttribute
class_node,46,attribute_node,13,hasAttribute
class_node,47,attribute_node,14,hasAttribute
class_node,48,class_node,49,hasSubClass
class_node,50,attribute_node,15,hasAttribute
class_node,51,class_node,52,hasSubClass
class_node,53,attribute_node,16,hasAttribute
class_node,54,class_node,55,hasSubClass
class_node,56,attribute_node,17,hasAttribute
class_node,57,attribute_node,18,hasAttribute
class_node,58,class_node,59,hasSubClass
class_node,60,attribute_node,5,hasAttribute
class_node,61,attribute_node,19,hasAttribute
class_node,4,class_node,62,hasSubClass
class_node,63,attribute_node,5,hasAttribute
class_node,64,attribute_node,20,hasAttribute
class_node,65,class_node,66,hasSubClass
class_node,67,attribute_node,5,hasAttribute
class_node,68,class_node,69,hasSubClass
class_node,70,class_node,71,hasSubClass
class_node,72,attribute_node,21,hasAttribute
class_node,57,attribute_node,22,hasAttribute
class_node,73,attribute_node,23,hasAttribute
class_node,74,attribute_node,24,hasAttribute
class_node,75,attribute_node,5,hasAttribute
class_node,76,attribute_node,25,hasAttribute
class_node,48,attribute_node,26,hasAttribute
class_node,77,attribute_node,27,hasAttribute
class_node,78,class_node,79,hasSubClass
class_node,80,attribute_node,28,hasAttribute
class_node,81,attribute_node,5,hasAttribute
class_node,82,attribute_node,2,hasAttribute
class_node,16,class_node,83,hasSubClass
class_node,84,attribute_node,7,hasAttribute
class_node,64,attribute_node,29,hasAttribute
class_node,85,class_node,86,hasSubClass
class_node,87,class_node,88,hasSubClass
class_node,89,attribute_node,30,hasAttribute
class_node,90,attribute_node,31,hasAttribute
class_node,91,attribute_node,32,hasAttribute
class_node,92,attribute_node,33,hasAttribute
class_node,93,attribute_node,34,hasAttribute
class_node,94,attribute_node,35,hasAttribute
class_node,95,attribute_node,5,hasAttribute
class_node,96,attribute_node,36,hasAttribute
class_node,97,attribute_node,37,hasAttribute
class_node,98,attribute_node,38,hasAttribute
class_node,99,class_node,100,hasSubClass
class_node,8,attribute_node,5,hasAttribute
class_node,12,attribute_node,39,hasAttribute
class_node,60,attribute_node,40,hasAttribute
class_node,101,attribute_node,41,hasAttribute
class_node,102,class_node,103,hasSubClass
class_node,104,attribute_node,17,hasAttribute
class_node,105,class_node,102,hasSubClass
class_node,106,attribute_node,42,hasAttribute
class_node,107,attribute_node,43,hasAttribute
class_node,108,attribute_node,44,hasAttribute
class_node,109,attribute_node,45,hasAttribute
class_node,110,attribute_node,46,hasAttribute
class_node,111,attribute_node,47,hasAttribute
class_node,112,class_node,113,hasSubClass
class_node,2,class_node,89,hasSubClass
class_node,102,class_node,114,hasSubClass
class_node,101,attribute_node,48,hasAttribute
class_node,115,class_node,116,hasSubClass
class_node,110,attribute_node,49,hasAttribute
class_node,48,class_node,117,hasSubClass
class_node,118,attribute_node,50,hasAttribute
class_node,119,attribute_node,51,hasAttribute
class_node,120,class_node,121,hasSubClass
class_node,122,attribute_node,5,hasAttribute
class_node,123,attribute_node,52,hasAttribute
class_node,124,attribute_node,26,hasAttribute
class_node,18,class_node,125,hasSubClass
class_node,126,attribute_node,53,hasAttribute
class_node,43,class_node,26,hasSubClass
class_node,127,attribute_node,26,hasAttribute
class_node,128,class_node,129,hasSubClass
class_node,130,attribute_node,54,hasAttribute
class_node,131,attribute_node,55,hasAttribute
class_node,132,class_node,133,hasSubClass
class_node,76,attribute_node,56,hasAttribute
class_node,134,attribute_node,57,hasAttribute
class_node,135,class_node,61,hasSubClass
class_node,136,class_node,137,hasSubClass
class_node,138,attribute_node,58,hasAttribute
class_node,139,attribute_node,59,hasAttribute
class_node,140,attribute_node,60,hasAttribute
class_node,141,attribute_node,61,hasAttribute
class_node,142,attribute_node,62,hasAttribute
class_node,132,attribute_node,26,hasAttribute
class_node,143,attribute_node,63,hasAttribute
class_node,11,class_node,144,hasSubClass
class_node,57,attribute_node,64,hasAttribute
class_node,145,attribute_node,65,hasAttribute
class_node,146,attribute_node,66,hasAttribute
class_node,147,attribute_node,67,hasAttribute
class_node,144,attribute_node,5,hasAttribute
class_node,0,class_node,148,hasSubClass
class_node,41,class_node,149,hasSubClass
class_node,150,attribute_node,5,hasAttribute
class_node,92,attribute_node,68,hasAttribute
class_node,100,attribute_node,69,hasAttribute
class_node,151,attribute_node,70,hasAttribute
class_node,152,class_node,153,hasSubClass
class_node,142,class_node,154,hasSubClass
class_node,155,attribute_node,71,hasAttribute
class_node,156,class_node,157,hasSubClass
class_node,0,class_node,158,hasSubClass
class_node,159,attribute_node,72,hasAttribute
class_node,160,attribute_node,73,hasAttribute
class_node,161,attribute_node,5,hasAttribute
class_node,162,attribute_node,74,hasAttribute
class_node,163,attribute_node,75,hasAttribute
class_node,164,attribute_node,5,hasAttribute
class_node,165,attribute_node,5,hasAttribute
class_node,166,attribute_node,76,hasAttribute
class_node,167,class_node,110,hasSubClass
class_node,132,class_node,77,hasSubClass
class_node,168,class_node,169,hasSubClass
class_node,69,attribute_node,77,hasAttribute
class_node,170,attribute_node,78,hasAttribute
class_node,57,attribute_node,26,hasAttribute
class_node,7,class_node,171,hasSubClass
class_node,172,class_node,173,hasSubClass
class_node,174,attribute_node,5,hasAttribute
class_node,175,attribute_node,79,hasAttribute
class_node,176,class_node,177,hasSubClass
class_node,178,attribute_node,80,hasAttribute
class_node,130,attribute_node,27,hasAttribute
class_node,19,class_node,161,hasSubClass
class_node,141,attribute_node,81,hasAttribute
class_node,35,attribute_node,82,hasAttribute
class_node,179,attribute_node,5,hasAttribute
class_node,105,attribute_node,83,hasAttribute
class_node,4,class_node,180,hasSubClass
class_node,143,attribute_node,84,hasAttribute
class_node,140,attribute_node,85,hasAttribute
class_node,181,attribute_node,86,hasAttribute
class_node,182,attribute_node,87,hasAttribute
class_node,183,attribute_node,37,hasAttribute
class_node,11,class_node,184,hasSubClass
class_node,185,attribute_node,88,hasAttribute
class_node,186,class_node,187,hasSubClass
class_node,188,attribute_node,89,hasAttribute
class_node,140,attribute_node,90,hasAttribute
class_node,189,class_node,190,hasSubClass
class_node,191,attribute_node,91,hasAttribute
class_node,133,attribute_node,92,hasAttribute
class_node,192,attribute_node,93,hasAttribute
class_node,193,attribute_node,26,hasAttribute
class_node,132,attribute_node,94,hasAttribute
class_node,194,attribute_node,57,hasAttribute
class_node,87,class_node,195,hasSubClass
class_node,196,attribute_node,5,hasAttribute
class_node,197,class_node,198,hasSubClass
class_node,199,attribute_node,95,hasAttribute
class_node,200,attribute_node,96,hasAttribute
class_node,201,class_node,202,hasSubClass
class_node,203,attribute_node,5,hasAttribute
class_node,204,attribute_node,97,hasAttribute
class_node,205,attribute_node,98,hasAttribute
class_node,206,class_node,207,hasSubClass
class_node,208,attribute_node,5,hasAttribute
class_node,209,attribute_node,99,hasAttribute
class_node,97,class_node,210,hasSubClass
class_node,211,class_node,175,hasSubClass
